source_string,translated_string,context
Removed {0} terminal(s) locally.,{0} Terminal(s) lokal entfernt.,
Removed {0} terminal(s) locally, {1} failed.,{0} Terminal(s) lokal entfernt, {1} fehlgeschlagen.,
Merchant Code Used,Verwendeter H?ndlercode,
Merchant Code Override,Haendlercode-Ueberschreibung,
Optional: use a different merchant code for this pairing only.,Optional: fuer diese Kopplung einen anderen Haendlercode verwenden.,
Merchant code override is only available when debugging is enabled.,Haendlercode-Ueberschreibung ist nur bei aktiviertem Debugging verfuegbar.,
SumUp Status,SumUp-Status,
SumUp Client Transaction ID,SumUp-Client-Transaktions-ID,
SumUp Transaction ID,SumUp-Transaktions-ID,
SumUp Amount,SumUp-Betrag,
SumUp Currency,SumUp-Waehrung,
SumUp Refund Status,SumUp-Erstattungsstatus,
SumUp Refund Amount,SumUp-Erstattungsbetrag,
SumUp Payment,SumUp-Zahlung,
Starting SumUp payment...,SumUp-Zahlung wird gestartet...,
Waiting for card confirmation...,Warten auf Kartenbestaetigung...,
Payment confirmed.,Zahlung bestaetigt.,
Cancel Payment,Zahlung abbrechen,
SumUp payment must cover the full invoice amount.,SumUp-Zahlung muss den gesamten Rechnungsbetrag abdecken.,
Only one SumUp payment method can be used.,Es kann nur eine SumUp-Zahlungsart verwendet werden.,
No SumUp payment selected.,Keine SumUp-Zahlung ausgewaehlt.,
SumUp payment already completed.,SumUp-Zahlung ist bereits abgeschlossen.,
SumUp payment already in progress.,SumUp-Zahlung laeuft bereits.,
SumUp payment is not completed. Please finish payment before submitting.,SumUp-Zahlung ist nicht abgeschlossen. Bitte Zahlung vor dem Bestaetigen abschliessen.,
SumUp payment is missing a transaction id.,SumUp-Zahlung hat keine Transaktions-ID.,
SumUp payment cancelled.,SumUp-Zahlung abgebrochen.,
SumUp payment started.,SumUp-Zahlung gestartet.,
SumUp payment is not configured for this POS Profile.,SumUp-Zahlung ist fuer dieses POS-Profil nicht konfiguriert.,
Terminal ID is missing for SumUp Terminal {0}.,Terminal-ID fehlt fuer SumUp-Terminal {0}.,
POS Invoice must be in Draft state.,POS-Rechnung muss im Entwurf sein.,
SumUp payment amount {0} does not match invoice total {1}.,SumUp-Betrag {0} stimmt nicht mit dem Rechnungsbetrag {1} ueberein.,
SumUp payment currency {0} does not match invoice currency {1}.,SumUp-Waehrung {0} stimmt nicht mit der Rechnungswaehrung {1} ueberein.,
Unable to start SumUp payment.,SumUp-Zahlung konnte nicht gestartet werden.,
Unable to fetch SumUp payment status.,SumUp-Zahlungsstatus konnte nicht abgerufen werden.,
SumUp payment failed.,SumUp-Zahlung fehlgeschlagen.,
Unable to cancel SumUp payment.,SumUp-Zahlung konnte nicht abgebrochen werden.,
POS Profile is required.,POS-Profil ist erforderlich.,
Client transaction id not found in SumUp response.,Client-Transaktions-ID in SumUp-Antwort nicht gefunden.,
SumUp payment is not completed for the original invoice.,SumUp-Zahlung fuer die Originalrechnung ist nicht abgeschlossen.,
SumUp refund currency {0} does not match original currency {1}.,SumUp-Erstattungswaehrung {0} stimmt nicht mit der Originalwaehrung {1} ueberein.,
SumUp refund amount exceeds the original payment amount.,SumUp-Erstattungsbetrag uebersteigt den Originalzahlungsbetrag.,
SumUp refund failed,SumUp-Erstattung fehlgeschlagen,
SumUp Refund,SumUp-Erstattung,
Refund Amount,Erstattungsbetrag,
"Yes, refund","Ja, erstatten",
This amount will be refunded via SumUp immediately.,Dieser Betrag wird sofort ueber SumUp erstattet.,
Return Against,Rueckgabe gegen,
Cancel,Abbrechen,
SumUp refund failed. You can retry the refund manually.,SumUp-Erstattung fehlgeschlagen. Bitte manuell erneut ausloesen.,
Unable to validate SumUp refund details.,SumUp-Erstattungsdetails konnten nicht geprueft werden.,
This return will automatically refund {0} {1} via SumUp. Continue?,Diese Rueckgabe erstattet automatisch {0} {1} ueber SumUp. Fortfahren?,
Refund retries are only available for return invoices.,Erstattungswiederholungen sind nur fuer Rueckgaben verfuegbar.,
Refund retries are only available for submitted returns.,Erstattungswiederholungen sind nur fuer eingereichte Rueckgaben verfuegbar.,
Refund can only be retried when status is FAILED.,Erstattung kann nur erneut versucht werden, wenn der Status FAILED ist.,
Refund amount must be greater than zero.,Erstattungsbetrag muss groesser als null sein.,
SumUp refund retry completed with status: {0}.,SumUp-Erstattung erneut versucht mit Status: {0}.,
Retry SumUp Refund,SumUp-Erstattung erneut versuchen,
Retry the SumUp refund for this return?,SumUp-Erstattung fuer diese Rueckgabe erneut versuchen?,
Retrying SumUp refund...,SumUp-Erstattung wird erneut versucht...,
SumUp refund retry completed.,SumUp-Erstattung erneut versucht.,
Recovery Mode,Recovery-Modus,
Enable Recovery Mode,Recovery-Modus aktivieren,
Enable recovery mode to sync readers from SumUp into local terminals.,Recovery-Modus aktivieren, um SumUp-Reader in lokale Terminals zu synchronisieren.,
Recovery mode is disabled in SumUp Settings.,Recovery-Modus ist in den SumUp-Einstellungen deaktiviert.,
Recovery Sync,Recovery-Sync,
Recovery completed.,Recovery abgeschlossen.,
Fetch readers from SumUp and sync local terminals?,Reader von SumUp abrufen und lokale Terminals synchronisieren?,
Syncing terminals...,Terminals werden synchronisiert...,
No readers found in SumUp.,Keine Reader bei SumUp gefunden.,
No valid readers found in SumUp response.,Keine gueltigen Reader in der SumUp-Antwort gefunden.,
Reader ID missing in SumUp response.,Reader-ID fehlt in der SumUp-Antwort.,
Recovered {0} terminal(s), updated {1}, skipped {2}, failed {3}.,{0} Terminal(s) wiederhergestellt, {1} aktualisiert, {2} uebersprungen, {3} fehlgeschlagen.,
SumUp SDK does not support transaction lookup. Please update the sumup package.,SumUp-SDK unterstuetzt keine Transaktionsabfrage. Bitte das sumup-Paket aktualisieren.,
SumUp API error: client transport not available.,SumUp-API-Fehler: Client-Transport nicht verfuegbar.,
